beta,distance_corr_mean,probability_mean,mig_mean,mig_source_column
0.0,0.9319979289776051,0.9930135005574134,0.42185227633091,per_neuron_mig
0.1,0.9209073632682526,0.960071237458194,0.39161290541695426,per_neuron_mig
0.2,0.8869998790029596,0.9214230546265328,0.3595032189458087,per_neuron_mig
0.3,0.8289599668795623,0.8780136231884058,0.3245386743445247,per_neuron_mig
0.4,0.7491293435327717,0.8312429877369008,0.287393884806343,per_neuron_mig
0.5,0.6545159600896362,0.7832746934225195,0.24791187563427514,per_neuron_mig
0.6,0.5537847313135157,0.735451906354515,0.20904929390637755,per_neuron_mig
0.7,0.45157661147052863,0.6877364771460425,0.16959043887646094,per_neuron_mig
0.8,0.3430184290612815,0.6368895986622074,0.1227001411010545,per_neuron_mig
0.9,0.2056101753095933,0.5747939353400222,0.06365595159841272,per_neuron_mig
1.0,0.008142430853146601,0.5010829877369007,0.014645962561383273,per_neuron_mig
