overlap_profile,beta,distance_corr_mean,probability_mean,mig_mean,mig_source_column
low_overlap,0.0,0.9177580322555622,0.9863075919732439,0.40663563851971984,per_neuron_mig
low_overlap,0.3,0.8022597923871632,0.8812482051282052,0.30429233743042966,per_neuron_mig
low_overlap,0.6,0.5275304119472317,0.7415516387959866,0.18290370466198239,per_neuron_mig
low_overlap,0.9,0.1768397924833463,0.5738417391304347,0.048776561565131986,per_neuron_mig
medium_overlap,0.0,0.9225138432344157,0.9881284615384616,0.4121828401869589,per_neuron_mig
medium_overlap,0.3,0.8100631887986439,0.8864698885172798,0.313411587198094,per_neuron_mig
medium_overlap,0.6,0.5300793358150806,0.7493386176142698,0.18459889741593447,per_neuron_mig
medium_overlap,0.9,0.1765099369934355,0.574439420289855,0.04753411712315534,per_neuron_mig
high_overlap,0.0,0.7806354363964303,0.9545091527313267,0.2790916649694699,per_neuron_mig
high_overlap,0.3,0.5308567832256008,0.8626672575250836,0.13387642886026807,per_neuron_mig
high_overlap,0.6,0.3003317413672591,0.7416860089186178,0.06450975389152108,per_neuron_mig
high_overlap,0.9,0.1019893306791195,0.5840260312151617,0.011333967491898127,per_neuron_mig
