pathway,distance_corr,reduction_score_probability,eval_split,fully_connected_neuron_fraction,n_fully_connected_neurons_selected,n_pathway_nodes,overlap_threshold,run_dir
REACTOME_INSULIN_RECEPTOR_RECYCLING,,0.7854242463900887,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_COPI_MEDIATED_TRANSPORT,,0.8033416219517514,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,0.508359968662262,0.90845098770164,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SIGNALING_BY_SCF_KIT,0.4214116930961609,0.5800298003088924,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_DEVELOPMENTAL_BIOLOGY,0.0520424172282218,0.2381760267854634,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,0.8300879597663879,0.35396678934546844,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SIGNALING_BY_NODAL,,0.795313004406055,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_DAG_AND_IP3_SIGNALING,0.0135781252756714,0.7359140692298226,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING,0.1774579137563705,0.5294234851851068,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,0.0479577556252479,0.792475120430517,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION,0.5852797031402588,0.5014929460274997,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.3261799812316894,0.9995331020066004,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,0.1999087631702423,0.40398172023613727,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_TRIF_MEDIATED_TLR3_SIGNALING,0.4948852062225342,0.9630980511175184,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_CELL_CELL_COMMUNICATION,0.2994690537452698,0.4529619410785006,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.4354446530342102,0.47880033413371637,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,0.4637667238712311,0.998338695216497,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION,,0.7975360991144266,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_ER_PHAGOSOME_PATHWAY,0.6646284461021423,0.9992083260924136,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_MEIOSIS,0.449595183134079,0.9875933655731459,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING,0.0714910849928855,0.7378823571403077,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_G0_AND_EARLY_G1,0.3926128149032593,0.6417813940645829,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_REGULATION_OF_KIT_SIGNALING,0.8012376427650452,0.5493676957039983,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_MEMBRANE_TRAFFICKING,0.1973816305398941,0.5936913302637684,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,0.4628422558307647,0.6255563078789417,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,0.2091773897409439,0.663419603348932,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE,0.7524980902671814,0.5055970116504207,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,,0.1419709462112288,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_BOTULINUM_NEUROTOXICITY,-0.0170384254306554,0.1589292472684699,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.4822329878807068,0.5690288548541507,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,0.3819235563278198,0.9941972476659195,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS,0.6836228370666504,0.48807287853224257,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,,0.7981084500283557,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS,-0.0260206721723079,0.78025968927029,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_IL_7_SIGNALING,0.7548072934150696,0.5544578613570098,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_CELL_CYCLE,0.3529704511165619,0.5538673584902059,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SIGNALING_BY_ERBB4,0.1398892104625702,0.1588142913231252,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,0.8572070598602295,0.5175073880507537,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,0.4782502055168152,0.4323711260935364,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SULFUR_AMINO_ACID_METABOLISM,0.0193798169493675,0.6715860516649017,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING,0.0764034986495971,0.525803127726316,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.5679228901863098,0.5223168076524967,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_PROLACTIN_RECEPTOR_SIGNALING,,0.7849600837586703,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SIGNALING_BY_ERBB2,0.50613933801651,0.4185969405045181,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,0.5508614182472229,0.4375482387285452,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS,,0.1671962657592811,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_DEFENSINS,0.7009865641593933,0.5279517061362627,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR,-0.0321099609136581,0.792391467706815,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
